borough_code,borough_name,value_2001,value_2017,category,pct_change
E09000017,Hillingdon,135.0,85.0,pub_workplaces,-0.37037037037037035
E09000018,Hounslow,130.0,80.0,pub_workplaces,-0.38461538461538464
E09000014,Haringey,115.0,70.0,pub_workplaces,-0.391304347826087
E09000015,Harrow,75.0,45.0,pub_workplaces,-0.4
E09000024,Merton,75.0,45.0,pub_workplaces,-0.4
E09000003,Barnet,135.0,80.0,pub_workplaces,-0.4074074074074074
E09000030,Tower Hamlets,205.0,120.0,pub_workplaces,-0.4146341463414634
E09000005,Brent,120.0,70.0,pub_workplaces,-0.4166666666666667
E09000010,Enfield,120.0,65.0,pub_workplaces,-0.4583333333333333
E09000008,Croydon,165.0,85.0,pub_workplaces,-0.48484848484848486
E09000031,Waltham Forest,90.0,45.0,pub_workplaces,-0.5
E09000025,Newham,105.0,50.0,pub_workplaces,-0.5238095238095238
E09000002,Barking and Dagenham,45.0,20.0,pub_workplaces,-0.5555555555555556
E09000004,Bexley,55.0,55.0,small_pub_workplaces,0.0
E09000029,Sutton,35.0,30.0,small_pub_workplaces,-0.14285714285714285
E09000016,Havering,35.0,25.0,small_pub_workplaces,-0.2857142857142857
E09000012,Hackney,145.0,100.0,small_pub_workplaces,-0.3103448275862069
E09000026,Redbridge,30.0,20.0,small_pub_workplaces,-0.3333333333333333
E09000019,Islington,190.0,115.0,small_pub_workplaces,-0.39473684210526316
E09000009,Ealing,95.0,55.0,small_pub_workplaces,-0.42105263157894735
E09000005,Brent,90.0,50.0,small_pub_workplaces,-0.4444444444444444
E09000018,Hounslow,90.0,50.0,small_pub_workplaces,-0.4444444444444444
E09000006,Bromley,75.0,40.0,small_pub_workplaces,-0.4666666666666667
E09000002,Barking and Dagenham,30.0,15.0,small_pub_workplaces,-0.5
E09000011,Greenwich,90.0,45.0,small_pub_workplaces,-0.5
E09000014,Haringey,90.0,45.0,small_pub_workplaces,-0.5
E09000033,Westminster,330.0,160.0,small_pub_workplaces,-0.5151515151515151
E09000003,Barnet,95.0,45.0,small_pub_workplaces,-0.5263157894736842
E09000017,Hillingdon,85.0,40.0,small_pub_workplaces,-0.5294117647058824
E09000023,Lewisham,85.0,40.0,small_pub_workplaces,-0.5294117647058824
E09000015,Harrow,55.0,25.0,small_pub_workplaces,-0.5454545454545454
E09000027,Richmond upon Thames,110.0,50.0,small_pub_workplaces,-0.5454545454545454
E09000031,Waltham Forest,55.0,25.0,small_pub_workplaces,-0.5454545454545454
E09000024,Merton,45.0,20.0,small_pub_workplaces,-0.5555555555555556
E09000030,Tower Hamlets,180.0,80.0,small_pub_workplaces,-0.5555555555555556
E09000007,Camden,215.0,95.0,small_pub_workplaces,-0.5581395348837209
E09000010,Enfield,80.0,35.0,small_pub_workplaces,-0.5625
E09000008,Croydon,115.0,50.0,small_pub_workplaces,-0.5652173913043478
E09000032,Wandsworth,95.0,40.0,small_pub_workplaces,-0.5789473684210527
E09000021,Kingston upon Thames,60.0,25.0,small_pub_workplaces,-0.5833333333333334
E09000001,City of London,110.0,45.0,small_pub_workplaces,-0.5909090909090909
E09000022,Lambeth,160.0,65.0,small_pub_workplaces,-0.59375
E09000028,Southwark,185.0,75.0,small_pub_workplaces,-0.5945945945945946
E09000013,Hammersmith and Fulham,100.0,40.0,small_pub_workplaces,-0.6
E09000020,Kensington and Chelsea,90.0,35.0,small_pub_workplaces,-0.6111111111111112
E09000025,Newham,90.0,35.0,small_pub_workplaces,-0.6111111111111112
E09000030,Tower Hamlets,105.0,220.0,takeaway_workplaces,1.0952380952380953
E09000012,Hackney,90.0,175.0,takeaway_workplaces,0.9444444444444444
E09000017,Hillingdon,105.0,185.0,takeaway_workplaces,0.7619047619047619
E09000025,Newham,105.0,185.0,takeaway_workplaces,0.7619047619047619
E09000031,Waltham Forest,90.0,155.0,takeaway_workplaces,0.7222222222222222
E09000011,Greenwich,85.0,140.0,takeaway_workplaces,0.6470588235294118
E09000023,Lewisham,110.0,175.0,takeaway_workplaces,0.5909090909090909
E09000016,Havering,100.0,155.0,takeaway_workplaces,0.55
