msoa_code,msoa_name,nte_businesses_2017,pub_workplaces_2017,licensed_food_2017,clubs_2017,cim_nightlife_poi_count,cim_grassroots_music_count,cim_nightclub_count,cim_cultural_poi_count,cim_lgbt_venue_count,activity_index,support_index
E02000886,Tower Hamlets 023,,5.0,320.0,10.0,2.0,1.0,1.0,,,0.020517676767676768,0.06526806526806528
E02000593,Kensington and Chelsea 017,,5.0,400.0,20.0,2.0,1.0,1.0,,,0.020517676767676768,0.10924017502964872
E02000602,Kingston upon Thames 005,,5.0,120.0,10.0,2.0,1.0,1.0,,,0.020517676767676768,0.024782235308551098
E02000828,Southwark 022,,5.0,295.0,15.0,2.0,1.0,1.0,,,0.020517676767676768,0.07409622541201488
E02000869,Tower Hamlets 006,,5.0,320.0,10.0,2.0,1.0,1.0,,,0.020517676767676768,0.06526806526806528
E02000824,Southwark 018,,5.0,295.0,15.0,2.0,,,1.0,,0.020517676767676768,0.09879496721601984
E02000584,Kensington and Chelsea 008,,10.0,400.0,20.0,1.0,1.0,1.0,2.0,,0.02034198113207547,0.10166441745389114
E02000830,Southwark 024,,5.0,295.0,15.0,1.0,,,2.0,,0.016705974842767295,0.08869395711500976
E02000412,Haringey 016,,5.0,175.0,10.0,1.0,1.0,,,,0.015625,0.02834008097165992
E02000381,Hammersmith and Fulham 010,,5.0,270.0,15.0,,,,1.0,,0.015625,0.12291947818263607
E02000923,Wandsworth 001,,5.0,275.0,20.0,,,,1.0,,0.015625,0.15272154745838956
E02000925,Wandsworth 003,,5.0,275.0,20.0,,,,1.0,,0.015625,0.15272154745838956
E02000392,Hammersmith and Fulham 021,,5.0,270.0,15.0,,,,1.0,,0.015625,0.12291947818263607
E02000346,Hackney 002,,5.0,285.0,15.0,1.0,1.0,,,,0.015625,0.0644961763382816
E02000185,Camden 020,,5.0,600.0,20.0,,,,1.0,,0.015625,0.28430049482681063
E02000363,Hackney 019,,5.0,285.0,15.0,1.0,1.0,,,,0.015625,0.0644961763382816
E02000907,Waltham Forest 013,,5.0,135.0,15.0,1.0,,,,,0.015625,0.0455090718248613
E02000378,Hammersmith and Fulham 007,,5.0,270.0,15.0,1.0,1.0,,,,0.015625,0.061459739091318036
E02000375,Hammersmith and Fulham 004,,5.0,270.0,15.0,1.0,,,,,0.015625,0.08194631878842405
E02000180,Camden 015,,5.0,600.0,20.0,1.0,1.0,,,,0.015625,0.14215024741340532
E02000928,Wandsworth 006,,5.0,275.0,20.0,1.0,1.0,,,,0.015625,0.07636077372919478
E02000607,Kingston upon Thames 010,,5.0,120.0,10.0,1.0,,,,,0.015625,0.02294197031039136
E02000389,Hammersmith and Fulham 018,,5.0,270.0,15.0,,,,1.0,,0.015625,0.12291947818263607
E02000114,Brent 022,,5.0,190.0,15.0,,,,1.0,,0.015625,0.09053081421502474
E02000810,Southwark 004,,5.0,295.0,15.0,,,,1.0,,0.015625,0.13304093567251463
E02000526,Hounslow 001,,5.0,150.0,20.0,1.0,1.0,,,,0.015625,0.05105713000449842
E02000520,Hillingdon 027,,5.0,165.0,20.0,,,,1.0,,0.015625,0.10818713450292397
E02000495,Hillingdon 002,,5.0,165.0,20.0,,,,1.0,,0.015625,0.10818713450292397
E02000217,Croydon 024,,5.0,205.0,25.0,1.0,,,,,0.015625,0.10143949617633828
E02000215,Croydon 022,,5.0,205.0,25.0,1.0,1.0,,,,0.015625,0.07607962213225371
E02000839,Southwark 033,,5.0,295.0,15.0,,,,1.0,,0.015625,0.13304093567251463
E02000836,Southwark 030,,5.0,295.0,15.0,,,,1.0,,0.015625,0.13304093567251463
E02000130,Bromley 004,,5.0,200.0,20.0,1.0,,,,,0.015625,0.08157144999250263
E02000866,Tower Hamlets 003,,5.0,320.0,10.0,,,,1.0,,0.015625,0.11538461538461539
E02000623,Lambeth 006,,5.0,295.0,15.0,1.0,1.0,,,,0.015625,0.06652046783625731
E02000461,Harrow 029,,5.0,150.0,10.0,,,,1.0,,0.015625,0.0465587044534413
E02000571,Islington 018,,5.0,370.0,10.0,1.0,,,,,0.015625,0.09041835357624832
E02000434,Harrow 002,,5.0,150.0,10.0,,,,1.0,,0.015625,0.0465587044534413
E02000172,Camden 007,,5.0,600.0,20.0,1.0,1.0,,,,0.015625,0.14215024741340532
E02000757,Redbridge 007,,5.0,130.0,10.0,,,,1.0,,0.015625,0.038461538461538464
E02000443,Harrow 011,,5.0,150.0,10.0,,,,1.0,,0.015625,0.0465587044534413
E02000872,Tower Hamlets 009,,5.0,320.0,10.0,1.0,,,,1.0,0.015625,0.057692307692307696
E02000417,Haringey 021,,5.0,175.0,10.0,,,,1.0,,0.015625,0.05668016194331984
E02000419,Haringey 023,,5.0,175.0,10.0,1.0,1.0,,,,0.015625,0.02834008097165992
E02000426,Haringey 030,,5.0,175.0,10.0,,,,1.0,,0.015625,0.05668016194331984
E02000565,Islington 012,,5.0,370.0,10.0,1.0,,,,1.0,0.015625,0.06781376518218624
E02000400,Haringey 004,,5.0,175.0,10.0,,,,1.0,,0.015625,0.05668016194331984
E02000560,Islington 007,,5.0,370.0,10.0,1.0,1.0,,,,0.015625,0.06781376518218624
E02000692,Merton 004,,5.0,120.0,10.0,,,,1.0,,0.015625,0.03441295546558704
E02000638,Lambeth 021,,5.0,295.0,15.0,1.0,,,,,0.015625,0.08869395711500976
E02006928,Greenwich 035,,5.0,145.0,15.0,1.0,,,,,0.015625,0.04820812715549557
E02000016,Barking and Dagenham 015,,5.0,35.0,10.0,1.0,,,,,0.015625,0.0
E02000323,Greenwich 011,,5.0,145.0,15.0,1.0,,,,,0.015625,0.04820812715549557
E02000586,Kensington and Chelsea 010,,10.0,400.0,20.0,1.0,,1.0,1.0,,0.015625,0.1355525566051882
E02000956,Wandsworth 034,,5.0,275.0,20.0,,,,1.0,,0.015625,0.15272154745838956
E02000340,Greenwich 028,,5.0,145.0,15.0,1.0,,,,,0.015625,0.04820812715549557
E02000051,Barnet 028,,5.0,270.0,10.0,,,,1.0,,0.015625,0.0951417004048583
E02000673,Lewisham 021,,5.0,130.0,15.0,,,,1.0,,0.015625,0.06623931623931624
E02000661,Lewisham 009,,5.0,130.0,15.0,,,,1.0,,0.015625,0.06623931623931624
